item,itemLabel
http://www.wikidata.org/entity/Q212419,Q212419
http://www.wikidata.org/entity/Q262438,Q262438
http://www.wikidata.org/entity/Q215646,Эдо
http://www.wikidata.org/entity/Q408827,Q408827
http://www.wikidata.org/entity/Q252026,Воха
http://www.wikidata.org/entity/Q169134,Нара
http://www.wikidata.org/entity/Q740246,Q740246
http://www.wikidata.org/entity/Q807000,Q807000
http://www.wikidata.org/entity/Q879867,Q879867
http://www.wikidata.org/entity/Q752394,Асука
http://www.wikidata.org/entity/Q1042338,Q1042338
http://www.wikidata.org/entity/Q751907,Хэйан-кё
http://www.wikidata.org/entity/Q1154707,Q1154707
http://www.wikidata.org/entity/Q1155335,Q1155335
http://www.wikidata.org/entity/Q848672,Маноквари
http://www.wikidata.org/entity/Q1078387,Субанг
http://www.wikidata.org/entity/Q1884633,Q1884633
http://www.wikidata.org/entity/Q2482083,Q2482083
http://www.wikidata.org/entity/Q2509337,Q2509337
http://www.wikidata.org/entity/Q2913542,Q2913542
http://www.wikidata.org/entity/Q2361905,Барабай
http://www.wikidata.org/entity/Q3118749,Q3118749
http://www.wikidata.org/entity/Q3305537,Q3305537
http://www.wikidata.org/entity/Q3436281,Q3436281
http://www.wikidata.org/entity/Q1052803,Нагаокакё
http://www.wikidata.org/entity/Q3053702,Энаротали
http://www.wikidata.org/entity/Q1357603,Санана
http://www.wikidata.org/entity/Q1589770,временная столица Литвы
http://www.wikidata.org/entity/Q1911163,Маумере
http://www.wikidata.org/entity/Q2152993,Лувук
http://www.wikidata.org/entity/Q1207735,Токио
http://www.wikidata.org/entity/Q1196381,Фудзиваракё
http://www.wikidata.org/entity/Q753347,Атамбуа
http://www.wikidata.org/entity/Q471765,Шанду
http://www.wikidata.org/entity/Q55630059,Q55630059
http://www.wikidata.org/entity/Q56271982,Q56271982
http://www.wikidata.org/entity/Q56291123,Q56291123
http://www.wikidata.org/entity/Q56376612,Q56376612
http://www.wikidata.org/entity/Q60791571,Q60791571
http://www.wikidata.org/entity/Q60792211,Q60792211
http://www.wikidata.org/entity/Q61079103,Q61079103
http://www.wikidata.org/entity/Q61708053,Q61708053
http://www.wikidata.org/entity/Q61941883,Q61941883
http://www.wikidata.org/entity/Q65146089,Q65146089
http://www.wikidata.org/entity/Q66336728,Q66336728
http://www.wikidata.org/entity/Q68012046,Q68012046
http://www.wikidata.org/entity/Q862509,Хэйдзё-кё
http://www.wikidata.org/entity/Q84794369,Q84794369
http://www.wikidata.org/entity/Q85098690,Q85098690
http://www.wikidata.org/entity/Q88296583,Q88296583
http://www.wikidata.org/entity/Q88301462,Q88301462
http://www.wikidata.org/entity/Q88696397,Q88696397
http://www.wikidata.org/entity/Q91209174,Q91209174
http://www.wikidata.org/entity/Q96596876,Q96596876
http://www.wikidata.org/entity/Q96596883,Q96596883
http://www.wikidata.org/entity/Q96596885,Q96596885
http://www.wikidata.org/entity/Q96596888,Q96596888
http://www.wikidata.org/entity/Q96596928,Q96596928
http://www.wikidata.org/entity/Q96596946,Q96596946
http://www.wikidata.org/entity/Q96596972,Q96596972
http://www.wikidata.org/entity/Q96597010,Q96597010
http://www.wikidata.org/entity/Q96597015,Q96597015
http://www.wikidata.org/entity/Q97207840,Q97207840
http://www.wikidata.org/entity/Q97291607,Q97291607
http://www.wikidata.org/entity/Q97616963,Q97616963
http://www.wikidata.org/entity/Q97617104,Q97617104
http://www.wikidata.org/entity/Q97617734,Q97617734
http://www.wikidata.org/entity/Q97620213,Q97620213
http://www.wikidata.org/entity/Q97621948,Q97621948
http://www.wikidata.org/entity/Q97622789,Q97622789
http://www.wikidata.org/entity/Q97622911,Q97622911
http://www.wikidata.org/entity/Q97623002,Q97623002
http://www.wikidata.org/entity/Q97623925,Q97623925
http://www.wikidata.org/entity/Q97628361,Q97628361
http://www.wikidata.org/entity/Q97631201,Q97631201
http://www.wikidata.org/entity/Q97631860,Q97631860
http://www.wikidata.org/entity/Q97645234,Q97645234
http://www.wikidata.org/entity/Q3057594,Сигли
http://www.wikidata.org/entity/Q3474232,Саумлаки
http://www.wikidata.org/entity/Q3504644,Намлея
