item,itemLabel
http://www.wikidata.org/entity/Q155587,Красное Село
http://www.wikidata.org/entity/Q177888,Павловск
http://www.wikidata.org/entity/Q165413,Байконур
http://www.wikidata.org/entity/Q197582,Химки
http://www.wikidata.org/entity/Q193293,Реутов
http://www.wikidata.org/entity/Q158491,Феодосия
http://www.wikidata.org/entity/Q154738,Колпино
http://www.wikidata.org/entity/Q157688,Ломоносов
http://www.wikidata.org/entity/Q748363,Балаклава
http://www.wikidata.org/entity/Q136023,Железнодорожный
http://www.wikidata.org/entity/Q196489,Стерлитамак
http://www.wikidata.org/entity/Q198197,Шахтёрск
http://www.wikidata.org/entity/Q1061338,Новый Сарай
http://www.wikidata.org/entity/Q64438620,Борисов-Глебов
http://www.wikidata.org/entity/Q196934,Уссурийск
http://www.wikidata.org/entity/Q175617,Облучье
http://www.wikidata.org/entity/Q2371760,Дебальцево
http://www.wikidata.org/entity/Q194067,Серпухов
http://www.wikidata.org/entity/Q2564651,Молога
http://www.wikidata.org/entity/Q910505,Тмутаракань
http://www.wikidata.org/entity/Q1344411,Фанагория
http://www.wikidata.org/entity/Q1978797,Мурино
http://www.wikidata.org/entity/Q2058364,Бежица
http://www.wikidata.org/entity/Q1688000,Пустозерск
http://www.wikidata.org/entity/Q4430025,София
http://www.wikidata.org/entity/Q4227511,Кокшайск
http://www.wikidata.org/entity/Q4228741,Колтуши
http://www.wikidata.org/entity/Q4449499,Таврово
http://www.wikidata.org/entity/Q906661,Пантикапей
http://www.wikidata.org/entity/Q175752,Ожерелье
http://www.wikidata.org/entity/Q190499,Северодвинск
http://www.wikidata.org/entity/Q287522,Нимфей
http://www.wikidata.org/entity/Q955328,Краснобродский
http://www.wikidata.org/entity/Q178310,Петергоф
http://www.wikidata.org/entity/Q194084,Сестрорецк
http://www.wikidata.org/entity/Q2360763,Мирмекий
http://www.wikidata.org/entity/Q155863,Кронштадт
http://www.wikidata.org/entity/Q953712,Сибирский
http://www.wikidata.org/entity/Q1717770,Свияжск
http://www.wikidata.org/entity/Q1347765,Нахичевань-на-Дону
http://www.wikidata.org/entity/Q2373220,Старочеркасская
http://www.wikidata.org/entity/Q4135566,Генуэзская крепость
http://www.wikidata.org/entity/Q4417705,Серноводское
http://www.wikidata.org/entity/Q193380,Рубцовск
http://www.wikidata.org/entity/Q196384,Соликамск
http://www.wikidata.org/entity/Q1153416,Танаис
http://www.wikidata.org/entity/Q11940493,Патрей
http://www.wikidata.org/entity/Q13637388,Сукромны
http://www.wikidata.org/entity/Q4217616,Кауп
http://www.wikidata.org/entity/Q4344269,Панское (усадьба)
http://www.wikidata.org/entity/Q111487622,Барабан-коба
http://www.wikidata.org/entity/Q173037,Николаевск-на-Амуре
http://www.wikidata.org/entity/Q175191,Новопавловск
http://www.wikidata.org/entity/Q193413,Рыбинск
http://www.wikidata.org/entity/Q619131,Киммерик
http://www.wikidata.org/entity/Q182892,Полесск
http://www.wikidata.org/entity/Q2996413,Маджар
http://www.wikidata.org/entity/Q4507534,Чарышское
http://www.wikidata.org/entity/Q638445,Херсонес Таврический
http://www.wikidata.org/entity/Q7861533,Тиритака
http://www.wikidata.org/entity/Q207695,Зеленоград
http://www.wikidata.org/entity/Q883,Новосибирск
http://www.wikidata.org/entity/Q898,Омск
http://www.wikidata.org/entity/Q2423,Ярославль
http://www.wikidata.org/entity/Q3323,Белгород
http://www.wikidata.org/entity/Q3752,Майкоп
http://www.wikidata.org/entity/Q5206,Ставрополь
http://www.wikidata.org/entity/Q5449,Йошкар-Ола
http://www.wikidata.org/entity/Q6816,Улан-Удэ
http://www.wikidata.org/entity/Q13379,Курган
http://www.wikidata.org/entity/Q16978,Крымск
http://www.wikidata.org/entity/Q19157,Первоуральск
http://www.wikidata.org/entity/Q23742,Горгиппия
http://www.wikidata.org/entity/Q33345,Евпатория
http://www.wikidata.org/entity/Q7436,Гатчина
http://www.wikidata.org/entity/Q2592,Кострома
http://www.wikidata.org/entity/Q2630,Иваново
http://www.wikidata.org/entity/Q1763,Мурманск
http://www.wikidata.org/entity/Q6014,Барнаул
http://www.wikidata.org/entity/Q211560,Московский международный деловой центр
http://www.wikidata.org/entity/Q3426,Воронеж
http://www.wikidata.org/entity/Q3927,Астрахань
http://www.wikidata.org/entity/Q47166,Орск
http://www.wikidata.org/entity/Q2337,Смоленск
http://www.wikidata.org/entity/Q5337,Оренбург
http://www.wikidata.org/entity/Q7947,Пушкин
http://www.wikidata.org/entity/Q4905,Дружная Горка
http://www.wikidata.org/entity/Q5326,Черкесск
http://www.wikidata.org/entity/Q23185,Мытищи
http://www.wikidata.org/entity/Q2144,Череповец
http://www.wikidata.org/entity/Q15760,Новороссийск
http://www.wikidata.org/entity/Q959,Владивосток
http://www.wikidata.org/entity/Q914,Волгоград
http://www.wikidata.org/entity/Q3497234,Мотовилихинский район
http://www.wikidata.org/entity/Q908,Ростов-на-Дону
http://www.wikidata.org/entity/Q1957,Вологда
http://www.wikidata.org/entity/Q5343,Саранск
http://www.wikidata.org/entity/Q6066,Кемерово
http://www.wikidata.org/entity/Q11940251,Партенион
http://www.wikidata.org/entity/Q49565,Большие Колпаны
http://www.wikidata.org/entity/Q72536,Железногорск
http://www.wikidata.org/entity/Q95041,Набережные Челны
http://www.wikidata.org/entity/Q98995,Волжский
http://www.wikidata.org/entity/Q135285,Димитровград
http://www.wikidata.org/entity/Q184322,Пушкино
http://www.wikidata.org/entity/Q175517,Норильск
http://www.wikidata.org/entity/Q175524,Ноябрьск
http://www.wikidata.org/entity/Q104232,Ачинск
http://www.wikidata.org/entity/Q155309,Королёв
http://www.wikidata.org/entity/Q175742,Одинцово
http://www.wikidata.org/entity/Q193443,Салават
http://www.wikidata.org/entity/Q144170,Камышин
http://www.wikidata.org/entity/Q157065,Керчь
http://www.wikidata.org/entity/Q104649,Батайск
http://www.wikidata.org/entity/Q175480,Ногинск
http://www.wikidata.org/entity/Q175651,Обнинск
http://www.wikidata.org/entity/Q170513,Таганрог
http://www.wikidata.org/entity/Q131416,Дербент
http://www.wikidata.org/entity/Q172657,Нижнекамск
http://www.wikidata.org/entity/Q95449,Магнитогорск
http://www.wikidata.org/entity/Q154801,Комсомольск-на-Амуре
http://www.wikidata.org/entity/Q133026,Коломна
http://www.wikidata.org/entity/Q132732,Братск
http://www.wikidata.org/entity/Q145507,Каспийск
http://www.wikidata.org/entity/Q163643,Раменское
http://www.wikidata.org/entity/Q147756,Хасавюрт
http://www.wikidata.org/entity/Q133175,Волгодонск
http://www.wikidata.org/entity/Q175433,Новочебоксарск
http://www.wikidata.org/entity/Q155148,Копейск
http://www.wikidata.org/entity/Q165806,Невинномысск
http://www.wikidata.org/entity/Q155809,Новошахтинск
http://www.wikidata.org/entity/Q102667,Бийск
http://www.wikidata.org/entity/Q103789,Арзамас
http://www.wikidata.org/entity/Q104991,Бердск
http://www.wikidata.org/entity/Q105444,Каменск-Уральский
http://www.wikidata.org/entity/Q105455,Миасс
http://www.wikidata.org/entity/Q135410,Домодедово
http://www.wikidata.org/entity/Q153676,Кисловодск
http://www.wikidata.org/entity/Q155569,Красногорск
http://www.wikidata.org/entity/Q156658,Находка
http://www.wikidata.org/entity/Q172637,Нижневартовск
http://www.wikidata.org/entity/Q175452,Новочеркасск
http://www.wikidata.org/entity/Q175161,Новомосковск
http://www.wikidata.org/entity/Q198748,Энгельс
http://www.wikidata.org/entity/Q176325,Октябрьский
http://www.wikidata.org/entity/Q140087,Златоуст
http://www.wikidata.org/entity/Q141358,Люберцы
http://www.wikidata.org/entity/Q105002,Березники
http://www.wikidata.org/entity/Q104557,Балашиха
http://www.wikidata.org/entity/Q102346,Елец
http://www.wikidata.org/entity/Q102445,Ковров
http://www.wikidata.org/entity/Q198206,Шахты
http://www.wikidata.org/entity/Q162677,Муром
http://www.wikidata.org/entity/Q98967,Нижний Тагил
http://www.wikidata.org/entity/Q103565,Ангарск
http://www.wikidata.org/entity/Q135394,Долгопрудный
http://www.wikidata.org/entity/Q172616,Нефтеюганск
http://www.wikidata.org/entity/Q175124,Новокуйбышевск
http://www.wikidata.org/entity/Q176636,Орехово-Зуево
http://www.wikidata.org/entity/Q183002,Сургут
http://www.wikidata.org/entity/Q76493,Дзержинск
http://www.wikidata.org/entity/Q103993,Артём
http://www.wikidata.org/entity/Q193722,Сергиев Посад
http://www.wikidata.org/entity/Q93910,Новокузнецк
http://www.wikidata.org/entity/Q104560,Балаково
http://www.wikidata.org/entity/Q103483,Альметьевск
http://www.wikidata.org/entity/Q184147,Прокопьевск
http://www.wikidata.org/entity/Q172601,Нефтекамск
http://www.wikidata.org/entity/Q135787,Ессентуки
http://www.wikidata.org/entity/Q163935,Назрань
http://www.wikidata.org/entity/Q175470,Новый Уренгой
http://www.wikidata.org/entity/Q196486,Старый Оскол
http://www.wikidata.org/entity/Q198369,Щёлково
http://www.wikidata.org/entity/Q198419,Электросталь
http://www.wikidata.org/entity/Q193909,Северск
http://www.wikidata.org/entity/Q2405688,Новое Ступино
http://www.wikidata.org/entity/Q891,Нижний Новгород
http://www.wikidata.org/entity/Q7525,Севастополь
http://www.wikidata.org/entity/Q900,Казань
http://www.wikidata.org/entity/Q2143,Сыктывкар
http://www.wikidata.org/entity/Q3646,Краснодар
http://www.wikidata.org/entity/Q5627,Ульяновск
http://www.wikidata.org/entity/Q3977,Элиста
http://www.wikidata.org/entity/Q3159,Курск
http://www.wikidata.org/entity/Q6576,Иркутск
http://www.wikidata.org/entity/Q6049,Кызыл
http://www.wikidata.org/entity/Q39420,Сочи
http://www.wikidata.org/entity/Q6610,Якутск
http://www.wikidata.org/entity/Q649,Москва
http://www.wikidata.org/entity/Q3544,Тамбов
http://www.wikidata.org/entity/Q15767,Армавир
http://www.wikidata.org/entity/Q911,Уфа
http://www.wikidata.org/entity/Q5168,Махачкала
http://www.wikidata.org/entity/Q2684,Владимир
http://www.wikidata.org/entity/Q656,Санкт-Петербург
http://www.wikidata.org/entity/Q2214,Псков
http://www.wikidata.org/entity/Q5196,Грозный
http://www.wikidata.org/entity/Q5265,Нальчик
http://www.wikidata.org/entity/Q894,Самара
http://www.wikidata.org/entity/Q2746,Рязань
http://www.wikidata.org/entity/Q2770,Тула
http://www.wikidata.org/entity/Q19520,Подольск
http://www.wikidata.org/entity/Q2801,Брянск
http://www.wikidata.org/entity/Q2288,Тверь
http://www.wikidata.org/entity/Q976,Томск
http://www.wikidata.org/entity/Q5540,Пенза
http://www.wikidata.org/entity/Q19566,Симферополь
http://www.wikidata.org/entity/Q1851,Архангельск
http://www.wikidata.org/entity/Q41970,Пятигорск
http://www.wikidata.org/entity/Q53139,Чита
http://www.wikidata.org/entity/Q5470,Чебоксары
http://www.wikidata.org/entity/Q6934,Благовещенск
http://www.wikidata.org/entity/Q919,Красноярск
http://www.wikidata.org/entity/Q5332,Саратов
http://www.wikidata.org/entity/Q5815,Тюмень
http://www.wikidata.org/entity/Q1895,Петрозаводск
http://www.wikidata.org/entity/Q5239,Владикавказ
http://www.wikidata.org/entity/Q875,Абакан
http://www.wikidata.org/entity/Q915,Пермь
http://www.wikidata.org/entity/Q5384,Киров
http://www.wikidata.org/entity/Q2837,Калуга
http://www.wikidata.org/entity/Q3490,Липецк
http://www.wikidata.org/entity/Q5426,Ижевск
http://www.wikidata.org/entity/Q2235,Великий Новгород
http://www.wikidata.org/entity/Q1829,Калининград
http://www.wikidata.org/entity/Q4454,Хабаровск
http://www.wikidata.org/entity/Q887,Екатеринбург
http://www.wikidata.org/entity/Q1341,Тольятти
