item,itemLabel
http://www.wikidata.org/entity/Q658,натрий
http://www.wikidata.org/entity/Q654,неон
http://www.wikidata.org/entity/Q670,кремний
http://www.wikidata.org/entity/Q999,астат
http://www.wikidata.org/entity/Q979,полоний
http://www.wikidata.org/entity/Q1087,родий
http://www.wikidata.org/entity/Q1123,тантал
http://www.wikidata.org/entity/Q1133,радон
http://www.wikidata.org/entity/Q1234,сиборгий
http://www.wikidata.org/entity/Q1307,оганесон
http://www.wikidata.org/entity/Q1385,церий
http://www.wikidata.org/entity/Q1801,лантан
http://www.wikidata.org/entity/Q1872,америций
http://www.wikidata.org/entity/Q1888,калифорний
http://www.wikidata.org/entity/Q307030,небулий
http://www.wikidata.org/entity/Q2904964,Q2904964
http://www.wikidata.org/entity/Q5191418,Q5191418
http://www.wikidata.org/entity/Q4822785,авзоний
http://www.wikidata.org/entity/Q5574365,гномий
http://www.wikidata.org/entity/Q7294541,Q7294541
http://www.wikidata.org/entity/Q6697447,люций
http://www.wikidata.org/entity/Q7643352,Сверхтекучий гелий-4
http://www.wikidata.org/entity/Q91655999,унгекснилий
http://www.wikidata.org/entity/Q650,фтор
http://www.wikidata.org/entity/Q708,свинец
http://www.wikidata.org/entity/Q877,иридий
http://www.wikidata.org/entity/Q941,иттрий
http://www.wikidata.org/entity/Q1090,серебро
http://www.wikidata.org/entity/Q1106,ксенон
http://www.wikidata.org/entity/Q1096,олово
http://www.wikidata.org/entity/Q1128,радий
http://www.wikidata.org/entity/Q1139,унуненний
http://www.wikidata.org/entity/Q1303,московий
http://www.wikidata.org/entity/Q1386,празеодим
http://www.wikidata.org/entity/Q1882,берклий
http://www.wikidata.org/entity/Q7425,унбибий
http://www.wikidata.org/entity/Q19609,инертные газы
http://www.wikidata.org/entity/Q4137660,Гесперий
http://www.wikidata.org/entity/Q5249200,деципий
http://www.wikidata.org/entity/Q7452431,секваний
http://www.wikidata.org/entity/Q25323716,Q25323716
http://www.wikidata.org/entity/Q27078215,Q27078215
http://www.wikidata.org/entity/Q5271649,дианий
http://www.wikidata.org/entity/Q30747850,группа 2
http://www.wikidata.org/entity/Q10801007,группа 1
http://www.wikidata.org/entity/Q1851648,пелопий
http://www.wikidata.org/entity/Q5242243,давий
http://www.wikidata.org/entity/Q85801031,Шурамская аномалия δ13C
http://www.wikidata.org/entity/Q428912,дидим
http://www.wikidata.org/entity/Q3552041,унтритрий
http://www.wikidata.org/entity/Q4308046,мурий
http://www.wikidata.org/entity/Q4938128,богемий
http://www.wikidata.org/entity/Q5045278,каролиний
http://www.wikidata.org/entity/Q6000805,ильмений
http://www.wikidata.org/entity/Q4328381,Ньютоний
http://www.wikidata.org/entity/Q5710732,гельвеций
http://www.wikidata.org/entity/Q19563,щёлочноземельные металлы
http://www.wikidata.org/entity/Q618,бор
http://www.wikidata.org/entity/Q897,золото
http://www.wikidata.org/entity/Q11289368,унсепттрий
http://www.wikidata.org/entity/Q19605,галоген
http://www.wikidata.org/entity/Q783789,Австрий
http://www.wikidata.org/entity/Q568,литий
http://www.wikidata.org/entity/Q7972676,васий
http://www.wikidata.org/entity/Q91159244,Q91159244
http://www.wikidata.org/entity/Q2429332,короний
http://www.wikidata.org/entity/Q113084037,Q113084037
http://www.wikidata.org/entity/Q113084046,Q113084046
http://www.wikidata.org/entity/Q737,рений
http://www.wikidata.org/entity/Q744,никель
http://www.wikidata.org/entity/Q751,осмий
http://www.wikidata.org/entity/Q861,галлий
http://www.wikidata.org/entity/Q876,селен
http://www.wikidata.org/entity/Q895,рубидий
http://www.wikidata.org/entity/Q1121,актиний
http://www.wikidata.org/entity/Q1396,европий
http://www.wikidata.org/entity/Q1901,нобелий
http://www.wikidata.org/entity/Q1896,фермий
http://www.wikidata.org/entity/Q116976565,Q116976565
http://www.wikidata.org/entity/Q16307173,унгекссептий
http://www.wikidata.org/entity/Q19599218,унгексенний
http://www.wikidata.org/entity/Q569,бериллий
http://www.wikidata.org/entity/Q627,азот
http://www.wikidata.org/entity/Q623,углерод
http://www.wikidata.org/entity/Q674,фосфор
http://www.wikidata.org/entity/Q871,мышьяк
http://www.wikidata.org/entity/Q925,ртуть
http://www.wikidata.org/entity/Q942,висмут
http://www.wikidata.org/entity/Q932,таллий
http://www.wikidata.org/entity/Q1112,барий
http://www.wikidata.org/entity/Q1109,протактиний
http://www.wikidata.org/entity/Q1249,борий
http://www.wikidata.org/entity/Q1278,коперниций
http://www.wikidata.org/entity/Q1846,гольмий
http://www.wikidata.org/entity/Q1843,диспрозий
http://www.wikidata.org/entity/Q1819,самарий
http://www.wikidata.org/entity/Q1855,иттербий
http://www.wikidata.org/entity/Q1838,тербий
http://www.wikidata.org/entity/Q54377,унбигексий
http://www.wikidata.org/entity/Q30929350,унгексквадий
http://www.wikidata.org/entity/Q428635,унтрибий
http://www.wikidata.org/entity/Q428640,унбиенний
