item,itemLabel
http://www.wikidata.org/entity/Q20202233,Q20202233
http://www.wikidata.org/entity/Q20203789,Q20203789
http://www.wikidata.org/entity/Q20354469,Q20354469
http://www.wikidata.org/entity/Q20202206,Сима
http://www.wikidata.org/entity/Q20432201,Q20432201
http://www.wikidata.org/entity/Q20470230,Q20470230
http://www.wikidata.org/entity/Q20507242,Q20507242
http://www.wikidata.org/entity/Q20507428,Q20507428
http://www.wikidata.org/entity/Q20507658,Q20507658
http://www.wikidata.org/entity/Q20508035,Q20508035
http://www.wikidata.org/entity/Q20508208,Q20508208
http://www.wikidata.org/entity/Q20508218,Q20508218
http://www.wikidata.org/entity/Q20508255,Q20508255
http://www.wikidata.org/entity/Q20508274,Q20508274
http://www.wikidata.org/entity/Q20509355,Q20509355
http://www.wikidata.org/entity/Q20509404,Q20509404
http://www.wikidata.org/entity/Q20509414,Q20509414
http://www.wikidata.org/entity/Q20509412,Q20509412
http://www.wikidata.org/entity/Q20509459,Q20509459
http://www.wikidata.org/entity/Q20509500,Q20509500
http://www.wikidata.org/entity/Q20509560,Q20509560
http://www.wikidata.org/entity/Q20509809,Q20509809
http://www.wikidata.org/entity/Q20509916,Q20509916
http://www.wikidata.org/entity/Q20509980,Q20509980
http://www.wikidata.org/entity/Q20511086,Q20511086
http://www.wikidata.org/entity/Q20511124,Q20511124
http://www.wikidata.org/entity/Q20511530,Q20511530
http://www.wikidata.org/entity/Q20511590,Q20511590
http://www.wikidata.org/entity/Q20511639,Q20511639
http://www.wikidata.org/entity/Q20511929,Q20511929
http://www.wikidata.org/entity/Q20512252,Q20512252
http://www.wikidata.org/entity/Q20512267,Q20512267
http://www.wikidata.org/entity/Q20512654,Q20512654
http://www.wikidata.org/entity/Q20512714,Q20512714
http://www.wikidata.org/entity/Q20512771,Q20512771
http://www.wikidata.org/entity/Q20513223,Q20513223
http://www.wikidata.org/entity/Q20513377,Q20513377
http://www.wikidata.org/entity/Q20513714,Q20513714
http://www.wikidata.org/entity/Q20513922,Q20513922
http://www.wikidata.org/entity/Q20513972,Q20513972
http://www.wikidata.org/entity/Q20513982,Q20513982
http://www.wikidata.org/entity/Q20514496,Q20514496
http://www.wikidata.org/entity/Q20521817,Q20521817
http://www.wikidata.org/entity/Q20521829,Q20521829
http://www.wikidata.org/entity/Q20522435,Q20522435
http://www.wikidata.org/entity/Q20522868,Q20522868
http://www.wikidata.org/entity/Q20523853,Q20523853
http://www.wikidata.org/entity/Q20523912,Q20523912
http://www.wikidata.org/entity/Q20524262,Q20524262
http://www.wikidata.org/entity/Q20524379,Q20524379
http://www.wikidata.org/entity/Q20572658,Q20572658
http://www.wikidata.org/entity/Q20630245,Q20630245
http://www.wikidata.org/entity/Q20641849,Q20641849
http://www.wikidata.org/entity/Q20669222,Q20669222
http://www.wikidata.org/entity/Q20679502,Q20679502
http://www.wikidata.org/entity/Q20680276,Q20680276
http://www.wikidata.org/entity/Q20681797,Q20681797
http://www.wikidata.org/entity/Q20681871,Q20681871
http://www.wikidata.org/entity/Q20726712,Q20726712
http://www.wikidata.org/entity/Q20744400,Q20744400
http://www.wikidata.org/entity/Q20745988,Q20745988
http://www.wikidata.org/entity/Q20747399,Q20747399
http://www.wikidata.org/entity/Q20747434,Q20747434
http://www.wikidata.org/entity/Q20523048,Радко
http://www.wikidata.org/entity/Q20513863,Авак
http://www.wikidata.org/entity/Q20165875,Эразем
http://www.wikidata.org/entity/Q20512102,Гнел
http://www.wikidata.org/entity/Q20630261,Касио
http://www.wikidata.org/entity/Q20630723,Андрюс
http://www.wikidata.org/entity/Q20651054,Воут
http://www.wikidata.org/entity/Q20671763,Гальфридус
http://www.wikidata.org/entity/Q20680949,Бенто
http://www.wikidata.org/entity/Q20681848,Балтазар
http://www.wikidata.org/entity/Q20681922,Торстейн
http://www.wikidata.org/entity/Q20730636,Вилхелмус
http://www.wikidata.org/entity/Q78039840,Q78039840
http://www.wikidata.org/entity/Q78205394,Q78205394
http://www.wikidata.org/entity/Q78317544,Q78317544
http://www.wikidata.org/entity/Q78509918,Q78509918
http://www.wikidata.org/entity/Q78767947,Q78767947
http://www.wikidata.org/entity/Q78874014,Q78874014
http://www.wikidata.org/entity/Q79153537,Q79153537
