item,itemLabel
http://www.wikidata.org/entity/Q363124,Q363124
http://www.wikidata.org/entity/Q364945,Q364945
http://www.wikidata.org/entity/Q1807984,Q1807984
http://www.wikidata.org/entity/Q741784,Джим Уолтон
http://www.wikidata.org/entity/Q2121029,Q2121029
http://www.wikidata.org/entity/Q2156645,Q2156645
http://www.wikidata.org/entity/Q2865163,Q2865163
http://www.wikidata.org/entity/Q3351354,Q3351354
http://www.wikidata.org/entity/Q3767222,Джованни Ферреро
http://www.wikidata.org/entity/Q4720248,Q4720248
http://www.wikidata.org/entity/Q4834167,Q4834167
http://www.wikidata.org/entity/Q5084818,Q5084818
http://www.wikidata.org/entity/Q5138902,Q5138902
http://www.wikidata.org/entity/Q4964404,Брайан Робертс
http://www.wikidata.org/entity/Q5371267,Q5371267
http://www.wikidata.org/entity/Q5554793,Q5554793
http://www.wikidata.org/entity/Q5603396,Q5603396
http://www.wikidata.org/entity/Q5664891,Q5664891
http://www.wikidata.org/entity/Q5746237,Q5746237
http://www.wikidata.org/entity/Q5751609,Q5751609
http://www.wikidata.org/entity/Q5805501,Q5805501
http://www.wikidata.org/entity/Q5885758,Q5885758
http://www.wikidata.org/entity/Q5890442,Q5890442
http://www.wikidata.org/entity/Q5901374,Q5901374
http://www.wikidata.org/entity/Q6079285,Q6079285
http://www.wikidata.org/entity/Q6180759,Q6180759
http://www.wikidata.org/entity/Q7289824,Q7289824
http://www.wikidata.org/entity/Q7363162,Q7363162
http://www.wikidata.org/entity/Q7586188,Q7586188
http://www.wikidata.org/entity/Q7793127,Q7793127
http://www.wikidata.org/entity/Q7827229,Q7827229
http://www.wikidata.org/entity/Q8012250,Q8012250
http://www.wikidata.org/entity/Q10279737,Q10279737
http://www.wikidata.org/entity/Q12048563,Q12048563
http://www.wikidata.org/entity/Q12961335,Q12961335
http://www.wikidata.org/entity/Q12962523,Q12962523
http://www.wikidata.org/entity/Q12965265,Q12965265
http://www.wikidata.org/entity/Q12968514,Q12968514
http://www.wikidata.org/entity/Q12970122,Q12970122
http://www.wikidata.org/entity/Q13450375,Q13450375
http://www.wikidata.org/entity/Q15276655,Q15276655
http://www.wikidata.org/entity/Q5937903,Карл Ларссон
http://www.wikidata.org/entity/Q66939,Гётц Вернер
http://www.wikidata.org/entity/Q76906,Дитер Болен
http://www.wikidata.org/entity/Q78308,Дитер Шварц
http://www.wikidata.org/entity/Q88669,Хуберт Бурда
http://www.wikidata.org/entity/Q92985,Робин Ли
http://www.wikidata.org/entity/Q116735,Микаэла Конлин
http://www.wikidata.org/entity/Q164119,Марк Уолберг
http://www.wikidata.org/entity/Q165219,Роберт Дауни-младший
http://www.wikidata.org/entity/Q171428,Роман Аркадьевич Абрамович
http://www.wikidata.org/entity/Q172724,Берни Экклстоун
http://www.wikidata.org/entity/Q189490,Дженнифер Лоуренс
http://www.wikidata.org/entity/Q190972,Джим Парсонс
http://www.wikidata.org/entity/Q207405,Жа Жа Габор
http://www.wikidata.org/entity/Q215284,Джерри Янг
http://www.wikidata.org/entity/Q217298,Дэвид Леттерман
http://www.wikidata.org/entity/Q238081,Сисели Тайсон
http://www.wikidata.org/entity/Q266270,Яфет Котто
http://www.wikidata.org/entity/Q269791,Дафни Рид
http://www.wikidata.org/entity/Q289571,Элис Уолтон
http://www.wikidata.org/entity/Q299574,Анвар Ибрагим
http://www.wikidata.org/entity/Q315514,Олег Дерипаска
http://www.wikidata.org/entity/Q319137,Шелдон Адельсон
http://www.wikidata.org/entity/Q335552,Джек Дорси
http://www.wikidata.org/entity/Q336580,"Джеральд Гровенор, 6-й герцог Вестминстер"
http://www.wikidata.org/entity/Q370092,Т. Бун Пикенс
http://www.wikidata.org/entity/Q456894,Тичина Арнольд
http://www.wikidata.org/entity/Q462398,"Карвальо-Хейнекен, Шарлен де"
http://www.wikidata.org/entity/Q463381,Энн Кокс Чамблерс
http://www.wikidata.org/entity/Q552465,Стивен Шварцман
http://www.wikidata.org/entity/Q557074,Ален Вертхаймер
http://www.wikidata.org/entity/Q618233,Венди Уильямс
http://www.wikidata.org/entity/Q686301,Тайлер Перри
http://www.wikidata.org/entity/Q718857,Джеффри Оуэнс
http://www.wikidata.org/entity/Q725940,Самнер Редстоун
http://www.wikidata.org/entity/Q1066551,Чарльз Кох
http://www.wikidata.org/entity/Q1137062,Джек Ма
http://www.wikidata.org/entity/Q1451167,Франсуа Пино
http://www.wikidata.org/entity/Q2904131,Джеффри Эпштейн
http://www.wikidata.org/entity/Q3325540,Мулай Хафид Элалами
http://www.wikidata.org/entity/Q4131977,"Гайдук, Виталий Анатольевич"
http://www.wikidata.org/entity/Q4422296,Александр Иванович Скоробогатько
http://www.wikidata.org/entity/Q4911497,Билл де Блазио
http://www.wikidata.org/entity/Q5239949,"Сомерсет, Дэвид, 11-й герцог Бофорт"
http://www.wikidata.org/entity/Q6000547,Эдвард Мортенссон
http://www.wikidata.org/entity/Q6010180,Фердинанд Нильссон
http://www.wikidata.org/entity/Q6180020,Мартин Скоглунд
http://www.wikidata.org/entity/Q6236669,Оскар Вернер
http://www.wikidata.org/entity/Q7417618,Сэндфорд К. Фолкнер
http://www.wikidata.org/entity/Q10819807,Андрей Бабиш
http://www.wikidata.org/entity/Q11873595,Эдуард Кучера
http://www.wikidata.org/entity/Q11963448,Чарльз Доулан
http://www.wikidata.org/entity/Q12105258,"Загорий, Глеб Владимирович"
http://www.wikidata.org/entity/Q12106760,"Злочевский, Николай Владиславович"
http://www.wikidata.org/entity/Q4636,Барбра Стрейзанд
http://www.wikidata.org/entity/Q38111,Леонардо Ди Каприо
http://www.wikidata.org/entity/Q51101,Джолин Цай
http://www.wikidata.org/entity/Q65344,Энди Бехтольшейм
http://www.wikidata.org/entity/Q3543427,Монсур дель Росарио
http://www.wikidata.org/entity/Q20949617,Q20949617
http://www.wikidata.org/entity/Q21175176,Q21175176
http://www.wikidata.org/entity/Q21274965,Q21274965
http://www.wikidata.org/entity/Q21662949,Q21662949
http://www.wikidata.org/entity/Q22958572,Q22958572
