item,itemLabel
http://www.wikidata.org/entity/Q72536,Железногорск
http://www.wikidata.org/entity/Q95041,Набережные Челны
http://www.wikidata.org/entity/Q98995,Волжский
http://www.wikidata.org/entity/Q198748,Энгельс
http://www.wikidata.org/entity/Q135285,Димитровград
http://www.wikidata.org/entity/Q184322,Пушкино
http://www.wikidata.org/entity/Q176325,Октябрьский
http://www.wikidata.org/entity/Q175517,Норильск
http://www.wikidata.org/entity/Q175524,Ноябрьск
http://www.wikidata.org/entity/Q104232,Ачинск
http://www.wikidata.org/entity/Q155309,Королёв
http://www.wikidata.org/entity/Q175742,Одинцово
http://www.wikidata.org/entity/Q193443,Салават
http://www.wikidata.org/entity/Q196489,Стерлитамак
http://www.wikidata.org/entity/Q102346,Елец
http://www.wikidata.org/entity/Q196934,Уссурийск
http://www.wikidata.org/entity/Q102445,Ковров
http://www.wikidata.org/entity/Q144170,Камышин
http://www.wikidata.org/entity/Q194067,Серпухов
http://www.wikidata.org/entity/Q198206,Шахты
http://www.wikidata.org/entity/Q98967,Нижний Тагил
http://www.wikidata.org/entity/Q157065,Керчь
http://www.wikidata.org/entity/Q76493,Дзержинск
http://www.wikidata.org/entity/Q103993,Артём
http://www.wikidata.org/entity/Q104649,Батайск
http://www.wikidata.org/entity/Q175480,Ногинск
http://www.wikidata.org/entity/Q175651,Обнинск
http://www.wikidata.org/entity/Q193722,Сергиев Посад
http://www.wikidata.org/entity/Q170513,Таганрог
http://www.wikidata.org/entity/Q131416,Дербент
http://www.wikidata.org/entity/Q93910,Новокузнецк
http://www.wikidata.org/entity/Q172657,Нижнекамск
http://www.wikidata.org/entity/Q95449,Магнитогорск
http://www.wikidata.org/entity/Q154801,Комсомольск-на-Амуре
http://www.wikidata.org/entity/Q133026,Коломна
http://www.wikidata.org/entity/Q172601,Нефтекамск
http://www.wikidata.org/entity/Q135787,Ессентуки
http://www.wikidata.org/entity/Q163935,Назрань
http://www.wikidata.org/entity/Q175470,Новый Уренгой
http://www.wikidata.org/entity/Q193413,Рыбинск
http://www.wikidata.org/entity/Q196486,Старый Оскол
http://www.wikidata.org/entity/Q198369,Щёлково
http://www.wikidata.org/entity/Q198419,Электросталь
http://www.wikidata.org/entity/Q132732,Братск
http://www.wikidata.org/entity/Q145507,Каспийск
http://www.wikidata.org/entity/Q163643,Раменское
http://www.wikidata.org/entity/Q147756,Хасавюрт
http://www.wikidata.org/entity/Q133175,Волгодонск
http://www.wikidata.org/entity/Q175433,Новочебоксарск
http://www.wikidata.org/entity/Q193909,Северск
http://www.wikidata.org/entity/Q2405688,Новое Ступино
http://www.wikidata.org/entity/Q891,Нижний Новгород
http://www.wikidata.org/entity/Q7525,Севастополь
http://www.wikidata.org/entity/Q900,Казань
http://www.wikidata.org/entity/Q2143,Сыктывкар
http://www.wikidata.org/entity/Q3646,Краснодар
http://www.wikidata.org/entity/Q5627,Ульяновск
http://www.wikidata.org/entity/Q3977,Элиста
http://www.wikidata.org/entity/Q3159,Курск
http://www.wikidata.org/entity/Q6576,Иркутск
http://www.wikidata.org/entity/Q39420,Сочи
http://www.wikidata.org/entity/Q6610,Якутск
http://www.wikidata.org/entity/Q649,Москва
http://www.wikidata.org/entity/Q155148,Копейск
http://www.wikidata.org/entity/Q165806,Невинномысск
http://www.wikidata.org/entity/Q3544,Тамбов
http://www.wikidata.org/entity/Q15767,Армавир
http://www.wikidata.org/entity/Q5168,Махачкала
http://www.wikidata.org/entity/Q2684,Владимир
http://www.wikidata.org/entity/Q656,Санкт-Петербург
http://www.wikidata.org/entity/Q2214,Псков
http://www.wikidata.org/entity/Q5196,Грозный
http://www.wikidata.org/entity/Q5265,Нальчик
http://www.wikidata.org/entity/Q894,Самара
http://www.wikidata.org/entity/Q2770,Тула
http://www.wikidata.org/entity/Q19520,Подольск
http://www.wikidata.org/entity/Q2801,Брянск
http://www.wikidata.org/entity/Q2288,Тверь
http://www.wikidata.org/entity/Q976,Томск
http://www.wikidata.org/entity/Q5540,Пенза
http://www.wikidata.org/entity/Q19566,Симферополь
http://www.wikidata.org/entity/Q1851,Архангельск
http://www.wikidata.org/entity/Q41970,Пятигорск
http://www.wikidata.org/entity/Q53139,Чита
http://www.wikidata.org/entity/Q5470,Чебоксары
http://www.wikidata.org/entity/Q6934,Благовещенск
http://www.wikidata.org/entity/Q919,Красноярск
http://www.wikidata.org/entity/Q5332,Саратов
http://www.wikidata.org/entity/Q875,Абакан
http://www.wikidata.org/entity/Q915,Пермь
http://www.wikidata.org/entity/Q5384,Киров
http://www.wikidata.org/entity/Q2837,Калуга
http://www.wikidata.org/entity/Q155809,Новошахтинск
http://www.wikidata.org/entity/Q3490,Липецк
http://www.wikidata.org/entity/Q1829,Калининград
http://www.wikidata.org/entity/Q887,Екатеринбург
http://www.wikidata.org/entity/Q1341,Тольятти
http://www.wikidata.org/entity/Q7951,Петропавловск-Камчатский
http://www.wikidata.org/entity/Q2219,Сызрань
http://www.wikidata.org/entity/Q7859,Южно-Сахалинск
