item,itemLabel
http://www.wikidata.org/entity/Q658,натрий
http://www.wikidata.org/entity/Q670,кремний
http://www.wikidata.org/entity/Q999,астат
http://www.wikidata.org/entity/Q979,полоний
http://www.wikidata.org/entity/Q1087,родий
http://www.wikidata.org/entity/Q1123,тантал
http://www.wikidata.org/entity/Q1234,сиборгий
http://www.wikidata.org/entity/Q708,свинец
http://www.wikidata.org/entity/Q877,иридий
http://www.wikidata.org/entity/Q941,иттрий
http://www.wikidata.org/entity/Q1090,серебро
http://www.wikidata.org/entity/Q1096,олово
http://www.wikidata.org/entity/Q1139,унуненний
http://www.wikidata.org/entity/Q22314315,унпентпентий
http://www.wikidata.org/entity/Q722,ванадий
http://www.wikidata.org/entity/Q716,титан
http://www.wikidata.org/entity/Q880,платина
http://www.wikidata.org/entity/Q1099,сурьма
http://www.wikidata.org/entity/Q1232,дубний
http://www.wikidata.org/entity/Q618,бор
http://www.wikidata.org/entity/Q11289368,унсепттрий
http://www.wikidata.org/entity/Q663,алюминий
http://www.wikidata.org/entity/Q660,магний
http://www.wikidata.org/entity/Q671,франций
http://www.wikidata.org/entity/Q706,кальций
http://www.wikidata.org/entity/Q1046,ниобий
http://www.wikidata.org/entity/Q1053,молибден
http://www.wikidata.org/entity/Q1089,палладий
http://www.wikidata.org/entity/Q1252,хассий
http://www.wikidata.org/entity/Q568,литий
http://www.wikidata.org/entity/Q743,вольфрам
http://www.wikidata.org/entity/Q753,медь
http://www.wikidata.org/entity/Q867,германий
http://www.wikidata.org/entity/Q1038,цирконий
http://www.wikidata.org/entity/Q1091,кадмий
http://www.wikidata.org/entity/Q1094,индий
http://www.wikidata.org/entity/Q1086,рутений
http://www.wikidata.org/entity/Q1226,резерфордий
http://www.wikidata.org/entity/Q703,калий
http://www.wikidata.org/entity/Q713,скандий
http://www.wikidata.org/entity/Q758,цинк
http://www.wikidata.org/entity/Q1054,технеций
http://www.wikidata.org/entity/Q1119,гафний
http://www.wikidata.org/entity/Q751,осмий
http://www.wikidata.org/entity/Q861,галлий
http://www.wikidata.org/entity/Q895,рубидий
http://www.wikidata.org/entity/Q1100,теллур
http://www.wikidata.org/entity/Q1108,цезий
http://www.wikidata.org/entity/Q569,бериллий
http://www.wikidata.org/entity/Q925,ртуть
http://www.wikidata.org/entity/Q942,висмут
http://www.wikidata.org/entity/Q932,таллий
http://www.wikidata.org/entity/Q1249,борий
http://www.wikidata.org/entity/Q1278,коперниций
