Магний, франций и молибден - это [MASK].
Свинец, иридий и титан - это [MASK].
Родий, тантал и сурьма - это [MASK].
Кремний, астат и олово - это [MASK].
Свинец, иридий и молибден - это [MASK].
Кальций, ниобий и палладий - это [MASK].
Свинец, иридий и бор - это [MASK].
Унсепттрий, алюминий и молибден - это [MASK].
Родий, тантал и ниобий - это [MASK].
Иттрий, серебро и хассий - это [MASK].
Такие [MASK], как тантал, сиборгий или ниобий.
Такие [MASK], как унуненний, унпентпентий или бор.
Такие [MASK], как астат, полоний или палладий.
Такие [MASK], как астат, полоний или унпентпентий.
Такие [MASK], как сиборгий, свинец или литий.
Такие [MASK], как полоний, родий или магний.
Такие [MASK], как сиборгий, свинец или сурьма.
Такие [MASK], как свинец, иридий или литий.
Такие [MASK], как олово, унуненний или хассий.
Такие [MASK], как полоний, родий или бор.
