item,itemLabel
http://www.wikidata.org/entity/Q2253934,Владимир
http://www.wikidata.org/entity/Q386299,Дорофей
http://www.wikidata.org/entity/Q653298,Виталий
http://www.wikidata.org/entity/Q98146955,Абрам
http://www.wikidata.org/entity/Q4346142,Парфений
http://www.wikidata.org/entity/Q4463891,Трофим
http://www.wikidata.org/entity/Q6948510,Мирослав
http://www.wikidata.org/entity/Q121811458,Осип
http://www.wikidata.org/entity/Q12142086,Поликарп
http://www.wikidata.org/entity/Q12165579,Феодор
http://www.wikidata.org/entity/Q96577197,Еремей
http://www.wikidata.org/entity/Q1966388,Егор
http://www.wikidata.org/entity/Q8060967,Юлий
http://www.wikidata.org/entity/Q17779188,Платон
http://www.wikidata.org/entity/Q15621289,Михаил
http://www.wikidata.org/entity/Q4492866,Фрол
http://www.wikidata.org/entity/Q18523982,Олег
http://www.wikidata.org/entity/Q18978459,Ефим
http://www.wikidata.org/entity/Q7034978,Никифор
http://www.wikidata.org/entity/Q19963443,Игнатий
http://www.wikidata.org/entity/Q18978434,Спиридон
http://www.wikidata.org/entity/Q19689546,Валерий
http://www.wikidata.org/entity/Q19894046,Авдон
http://www.wikidata.org/entity/Q19597898,Вячеслав
http://www.wikidata.org/entity/Q12160216,Твердислав
http://www.wikidata.org/entity/Q13634921,Гарри
http://www.wikidata.org/entity/Q1960378,Тарас
http://www.wikidata.org/entity/Q25936191,Кузьма
http://www.wikidata.org/entity/Q27452576,Василий
http://www.wikidata.org/entity/Q3059646,Евграф
http://www.wikidata.org/entity/Q110952129,Шетиель
http://www.wikidata.org/entity/Q30066949,Леонтий
http://www.wikidata.org/entity/Q30467509,Иосиф
http://www.wikidata.org/entity/Q30106749,Виктор
http://www.wikidata.org/entity/Q31206166,Флорентий
http://www.wikidata.org/entity/Q30465251,Юрий
http://www.wikidata.org/entity/Q104431130,Созон
http://www.wikidata.org/entity/Q19960375,Арчил
http://www.wikidata.org/entity/Q35146979,Денис
http://www.wikidata.org/entity/Q25114129,Агапий
http://www.wikidata.org/entity/Q107610075,Елизар
http://www.wikidata.org/entity/Q36695874,Фёдор
http://www.wikidata.org/entity/Q28914179,Диодор
http://www.wikidata.org/entity/Q40203849,Даниил
http://www.wikidata.org/entity/Q39033826,Исаак
http://www.wikidata.org/entity/Q39275021,Аркадий
http://www.wikidata.org/entity/Q30097515,Савва
http://www.wikidata.org/entity/Q17496699,Степан
http://www.wikidata.org/entity/Q47541590,Трифон
http://www.wikidata.org/entity/Q47538382,Арсений
http://www.wikidata.org/entity/Q35663473,Антон
http://www.wikidata.org/entity/Q110952359,Седрак
http://www.wikidata.org/entity/Q4396274,Рожер
http://www.wikidata.org/entity/Q55078579,Иисус
http://www.wikidata.org/entity/Q19936362,Семён
http://www.wikidata.org/entity/Q47538038,Макар
http://www.wikidata.org/entity/Q58040345,Агафон
http://www.wikidata.org/entity/Q61762504,Дионисий
http://www.wikidata.org/entity/Q61780883,Леонард
http://www.wikidata.org/entity/Q62054042,Антоний
http://www.wikidata.org/entity/Q4102852,Валерьян
http://www.wikidata.org/entity/Q4112987,Владилен
http://www.wikidata.org/entity/Q110901688,Феликс-Лев
http://www.wikidata.org/entity/Q4097579,Брячислав
http://www.wikidata.org/entity/Q113407898,Родослав
http://www.wikidata.org/entity/Q62523572,Рафаил
http://www.wikidata.org/entity/Q60180569,Агафангел
http://www.wikidata.org/entity/Q19893796,Агафодор
http://www.wikidata.org/entity/Q83192584,Амвросий
http://www.wikidata.org/entity/Q4058955,Айрат
http://www.wikidata.org/entity/Q62523284,Рафаэль
http://www.wikidata.org/entity/Q84909390,Демьян
http://www.wikidata.org/entity/Q55877184,Емельян
http://www.wikidata.org/entity/Q100320817,Марк
http://www.wikidata.org/entity/Q101129699,Макарий
http://www.wikidata.org/entity/Q104415128,Лука
http://www.wikidata.org/entity/Q104414323,Иннокентий
http://www.wikidata.org/entity/Q104414324,Геласий
http://www.wikidata.org/entity/Q104412904,Митрофан
http://www.wikidata.org/entity/Q105821040,Феодосий
http://www.wikidata.org/entity/Q105273284,Прокопий
http://www.wikidata.org/entity/Q106859486,Ипполит
http://www.wikidata.org/entity/Q107060628,Евстафий
http://www.wikidata.org/entity/Q108676030,Q108676030
http://www.wikidata.org/entity/Q109667873,Арнольд
http://www.wikidata.org/entity/Q109324071,Бронислав
http://www.wikidata.org/entity/Q111551144,Q111551144
http://www.wikidata.org/entity/Q110943259,Златоуст
http://www.wikidata.org/entity/Q110950922,Рахим
http://www.wikidata.org/entity/Q104431036,Федот
http://www.wikidata.org/entity/Q99092882,Зафар
http://www.wikidata.org/entity/Q125394085,Ахиллес
http://www.wikidata.org/entity/Q60932356,Раиль
http://www.wikidata.org/entity/Q65965795,Ильмир
http://www.wikidata.org/entity/Q107233500,Вальдемар
http://www.wikidata.org/entity/Q110922396,Исай
http://www.wikidata.org/entity/Q123110441,Сидор
http://www.wikidata.org/entity/Q112583624,Милий
