item,itemLabel
http://www.wikidata.org/entity/Q451455,Вагит Юсуфович Алекперов
http://www.wikidata.org/entity/Q470975,Владимир Сергеевич Лисин
http://www.wikidata.org/entity/Q1395387,Алексей Александрович Мордашов
http://www.wikidata.org/entity/Q1502398,Геннадий Николаевич Тимченко
http://www.wikidata.org/entity/Q1774254,Алексей Викторович Кузьмичёв
http://www.wikidata.org/entity/Q233581,Михаил Дмитриевич Прохоров
http://www.wikidata.org/entity/Q983847,Дмитрий Евгеньевич Рыболовлев
http://www.wikidata.org/entity/Q1133203,Леонид Арнольдович Федун
http://www.wikidata.org/entity/Q171428,Роман Аркадьевич Абрамович
http://www.wikidata.org/entity/Q315514,Олег Дерипаска
http://www.wikidata.org/entity/Q732142,Михаил Маратович Фридман
http://www.wikidata.org/entity/Q898514,Рустам Тарико
http://www.wikidata.org/entity/Q4502077,Эдуард Юрьевич Худайнатов
http://www.wikidata.org/entity/Q503147,Алишер Бурханович Усманов
http://www.wikidata.org/entity/Q704450,Виктор Феликсович Вексельберг
http://www.wikidata.org/entity/Q1819424,Леонид Викторович Михельсон
http://www.wikidata.org/entity/Q7453864,Сергей Викторович Попов
http://www.wikidata.org/entity/Q557317,Герман Борисович Хан
http://www.wikidata.org/entity/Q739315,Владимир Потанин
http://www.wikidata.org/entity/Q149067,Павел Дуров
http://www.wikidata.org/entity/Q502071,Андрей Игоревич Мельниченко
http://www.wikidata.org/entity/Q79740815,Дени Зиевич Бажаев
